name,team,fifa_OVA,fifa_POT

M. Le Bihan,OGC Nice,72,75

L. Memushaj,Pescara,72,72

K. Kusk,FC København,72,77

C. Gytkjær,Rosenborg BK,72,75

C. Ciano,Cesena,72,73

T. Šunjić,VfB Stuttgart,72,73

M. Abu,Strømsgodset IF,72,77

Sami,Akhisar Belediyespor,72,72

Juankar,Málaga CF,72,73

U. Bech,Hannover 96,72,77

M. Capuano,Cagliari,72,78

C. Quintero,Once Caldas,72,72

A. Fiola,Free,72,75

A. Cornelius,FC København,72,79

A. Gomis,Bologna,72,80

Erik Morán,Real Zaragoza,72,78

J. Ayoví,Godoy Cruz,72,72

J. Fernández,Rosario Central,72,72

A. Morales,FC Ingolstadt 04,72,74

M. Odubajo,Hull City,72,79

K. Stafylidis,FC Augsburg,72,77

A. Behich,Bursaspor,72,76

Patric,Gamba Osaka,72,72

Hernán,UD Las Palmas,72,75

Martos,Sporting Charleroi,72,72

D. da Costa,Bayer 04 Leverkusen,72,77

T. Carroll,Tottenham Hotspur,72,77

J. Bahebeck,Pescara,72,76

A. Schwolow,SC Freiburg,72,76

Héctor,Real Sociedad,72,77

H. Maguire,Hull City,72,80

Cortez,Albirex Niigata,72,72

B. Assombalonga,Nottingham Forest,72,80

O. Bouy,Palermo,72,78

B. Kessel,1. FC Union Berlin,72,72

O. Vranješ,FC Tom Tomsk,72,73

A. Martynovich,FC Krasnodar,72,72

A. Patosi,Sporting Lokeren,72,76

M. Bruno,RSC Anderlecht,72,77

C. Galano,Vicenza,72,73

L. Blanchard,Carpi,72,72

L. Andersen,Grasshopper Club Zürich,72,79

M. Bakalorz,Hannover 96,72,74

S. Kitsiou,PAOK,72,77

T. Chery,Queens Park Rangers,72,72

R. Wolski,Lechia Gdańsk,72,76

M. de Leeuw,Chicago Fire Soccer Club,72,72

T. Hemed,Brighton & Hove Albion,72,72

C. Martina,Southampton,72,73

L. Advíncula,Newell's Old Boys,72,73

D. Roef,RSC Anderlecht,72,78

P. Hosiner,1. FC Union Berlin,72,73

S. Khelifi,Eintracht Braunschweig,72,78

Joãozinho,KV Kortrijk,72,73

R. Ibarra,Club América,72,75

C. Taylor,Leeds United,72,80

Joan Román,Śląsk Wrocław,72,79

Nildo Petrolina,Moreirense FC,72,72

D. Ndongala,KAA Gent,72,74

M. Valoti,Hellas Verona,72,80

A. Koura,AS Nancy-Lorraine,72,76

G. Espinoza,Club Atlético Patronato,72,73

Djaniny,Santos Laguna,72,75

S. Kverkvelia,Rubin Kazan,72,78

L. Antei,Sassuolo,72,77

L. Ceppitelli,Cagliari,72,74

André Sousa,CF Os Belenenses,72,74

L. Nangis,SC Bastia,72,82

E. Salli,1. FC Nürnberg,72,78

E. Mathoho,Kaizer Chiefs,72,74

N. Thomsen,FC Nantes,72,77

V. Sané,Bursaspor,72,73

C. Chambers,Middlesbrough,72,82

A. Biyogo Poko,Kardemir Karabükspor,72,77

P. Nardi,Stade Rennais FC,72,82

Iván López,Levante UD,72,79

N. Bitton,Celtic,72,75

J. Grealish,Aston Villa,72,81

K. Stewart,Liverpool,72,81

Pablo Iñiguez,Rayo Vallecano,72,78

M. Rohdén,Crotone,72,74

R. Olsen,FC København,72,74

M. Vellidis,PAOK,72,72

G. Skondras,PAOK,72,74

M. Havenaar,ADO Den Haag,72,72

S. Ben Youssef,SM Caen,72,73

R. Fraser,Bournemouth,72,80

J. Martínez,Torino,72,78

I. Santini,SM Caen,72,73

V. Dyakov,FC Tom Tomsk,72,73

Patrick,CS Marítimo,72,75

B. Cristante,Pescara,72,82

I. Cissé,Standard de Liège,72,78

H. Sakai,Olympique de Marseille,72,74

P. Ankersen,FC København,72,75

Óscar Plano,AD Alcorcón,72,75

N. Aké,Bournemouth,72,80

N. Al Abed,Al Hilal,72,73

H. Henao,Millonarios FC,72,72

F. Al Muwallad,Al Ittihad,72,78

P. Ziereis,FC St. Pauli,72,77

J. Al Hussien,Al Taawoun,72,72

M. Saymak,PEC Zwolle,72,76

L. Lollo,Carpi,72,75

N. Ghilas,Gaziantepspor,72,74

M. Vilotić,BSC Young Boys,72,72

B. Touré,Standard de Liège,72,77

S. Schrijvers,Waasland-Beveren,72,81

C. Günter,SC Freiburg,72,75

M. Gajos,Lech Poznań,72,76

André Ramalho,1. FSV Mainz 05,72,77

Hélder Lopes,UD Las Palmas,72,73

Renato Santos,Boavista FC,72,75

A. Rusnák,FC Groningen,72,79

F. Chafik,Dijon FCO,72,72

H. Aleesami,Palermo,72,76

N. Martínez,Western Sydney Wanderers,72,72

D. Accam,Chicago Fire Soccer Club,72,73

José Mari,Cádiz C.F.,72,72

Wanderson,FC Red Bull Salzburg,72,80

P. Mogilevets,Zenit St. Petersburg,72,79

P. Hurtado,Vitória Guimarães,72,73

C. Jean,AS Monaco,72,84

I. Amadou,LOSC Lille,72,80

Carlos Hernández,CD Lugo,72,77

F. Barba,Empoli,72,80

M. Dembélé,Celtic,72,84

Pere Pons,Girona CF,72,80

R. Leipertz,FC Ingolstadt 04,72,76

M. Abdul Shafy,Al Ahli,72,72

P. Max,FC Augsburg,72,77

Ricardo Esgaio,Sporting CP,72,77

Hwang Ui Jo,Seongnam FC,72,79

L. Diony,Dijon FCO,72,75

P. Franco,Millonarios FC,72,76

S. Moreira,FC Lorient,72,79

Tiago Silva,F. Santa Maria da Feira,72,79

L. Augustinsson,FC København,72,81

D. Yedlin,Newcastle United,72,81

R. Walter,OGC Nice,72,82

S. Decarli,Eintracht Braunschweig,72,77

R. López,Pachuca,72,76

Albizua,Universidad Católica de Murcia CF,72,73

Somália,Toulouse FC,72,72

João Pedro,Vitória Guimarães,72,79

Fausto,CA Osasuna,72,74

J. Cornejo,Audax Italiano,72,73

F. Mora,Universidad de Chile,72,78

E. Pulgar,Bologna,72,78

P. McNair,Sunderland,72,81

Fábio Cardoso,Vitória Setúbal,72,80

Aketxe,Athletic Club de Bilbao,72,79

Adama,Middlesbrough,72,84

F. Meza,Tigres U.A.N.L.,72,77

C. Baeza,Colo-Colo,72,79

D. Moreno,Independiente Medellín,72,77

A. Andrade,Club León,72,72

A. Silva,Free,72,72

D. Andrade,Standard de Liège,72,75

A. Rodríguez,Deportes Tolima,72,72

A. Acevedo,CD O'Higgins,72,72

L. Valencia,CD Palestino,72,75

J. Aguirre,Junior FC,72,72

N. Barahona,Alianza Petrolera,72,72

R. Torres,Seattle Sounders FC,72,72

M. Piedrahita,Independiente Medellín,72,72

E. Blanco,Atlético Nacional,72,74

R. Gómez,Deportivo Toluca,72,78

L. Reyes,Universidad de Chile,72,75

M. Rodríguez,Colo-Colo,72,79

D. González,Racing Club,72,72

C. Riaño,Necaxa,72,72

M. Benítez,Independiente,72,81

P. Alvarado,Godoy Cruz,72,72

D. Braghieri,Club Atlético Lanús,72,72

G. Verón,New York Red Bulls,72,73

F. Zuqui,Boca Juniors,72,78

F. Castillón,Getafe CF,72,72

F. Cerro,Racing Club,72,72

L. Melano,Portland Timbers,72,78

J. Silva,Boca Juniors,72,77

G. Carrillo,AS Monaco,72,77

M. Meli,Sporting CP,72,76

Roni,Adanaspor,72,74

D. Türüç,Kayserispor,72,79

Lucas Evangelista,Udinese,72,79

Unai Garcia,CA Osasuna,72,79

Jason,Levante UD,72,80

Filipe Ferreira,FC Paços de Ferreira,72,73

Marlon Santos,FC Barcelona,72,82

M. Mancosu,Montreal Impact,72,72

R. González,CD Universidad de Concepción,72,73

G. Vargas,Club Atlético Patronato,72,72

R. Gagliolo,Carpi,72,75

L. Pasciuti,Carpi,72,72

J. van Aken,SC Heerenveen,72,79

G. Oboabona,Çaykur Rizespor,72,74

H. Menosse,Rosario Central,72,72

A. Blake,Philadelphia Union,72,77

M. Thiam,PAOK,72,76

Y. Kubo,BSC Young Boys,72,78

K. Molino,Orlando City Soccer Club,72,73

F. Sánchez,Estudiantes de La Plata,72,74

P. Galdames,Unión Española,72,85

S. Vittor,Racing Club,72,73

S. Perica,Udinese,72,79

Robert Ibáñez,CD Leganés,72,78

Y. González,Junior FC,72,79

M. Abdel Moneim,Al Ittihad,72,79

Alex Soares,CS Marítimo,72,75

F. Adi,Portland Timbers,72,75

J. Figal,Independiente,72,81

David Costas,RC Celta de Vigo,72,77

Embarba,Rayo Vallecano,72,77

N. Gyömbér,Pescara,72,77

J. Cristaldo,Cruz Azul,72,72

F. Mattiello,Juventus,72,84

E. Ponce,Granada CF,72,83

A. Pérez,Junior FC,72,80

Nano,SD Eibar,72,82

S. Birnbaum,D.C. United,72,74

Mariano,Real Madrid CF,72,81

Hélder Costa,Wolverhampton Wanderers,72,82

C. Gruezo,FC Dallas,72,79

D. Avdijaj,FC Schalke 04,72,81

Sun Ke,Free,72,72

E. Nabiullin,Rubin Kazan,72,84

L. Klostermann,RB Leipzig,72,84

Unai López,CD Leganés,72,79

B. Mensah,Vitória Guimarães,72,80

R. Aarons,Newcastle United,72,82

M. Saito,Yokohama F. Marinos,72,73

M. Nakamba,Vitesse,72,78

E. Kokalović,Kardemir Karabükspor,72,72

E. Güral,Antalyaspor,72,73

E. Ünal,FC Twente,72,83

N. Acevedo,Unión,72,72

I. Močinić,SK Rapid Wien,72,81

A. Conti,Atalanta,72,80

Zé Manuel,Vitória Setúbal,72,75

E. Goldaniga,Palermo,72,79

Mata,Real Valladolid,72,72

T. Wellenreuther,FC Schalke 04,72,84

S. Rochet,AZ,72,79

O. Çınar,Gaziantepspor,72,83

A. Bouchalakis,Olympiakos CFP,72,79

Dyego Sousa,CS Marítimo,72,73

Crislan,Tondela,72,77

I. Chochev,Palermo,72,78

H. Yamada,Karlsruher SC,72,72

J. Boga,Granada CF,72,82

Y. Bodiger,Toulouse FC,72,79

G. Čaušić,CA Osasuna,72,78

K. Lasagna,Carpi,72,77

M. Hawsawi,Al Ahli,72,78

Alex Berenguer,CA Osasuna,72,83

Gedoz,Club Brugge KV,72,76

A. Ibargüen,Atlético Nacional,72,76

J. Augustin,Paris Saint-Germain,72,81

M. Moreno,RC Deportivo de La Coruña,72,84

U. Agbo,Granada CF,72,81

F. Sambueza,Deportivo Cali,72,72

Rubén Duarte,RCD Espanyol,72,79

B. Perlaza,Independiente Santa Fe,72,75

A. Onana,Ajax,72,82

M. Escudero,San Juan,72,73

C. Larin,Orlando City Soccer Club,72,82

A. Sjöberg,Colorado Rapids,72,76

Ivo Rodrigues,FC Paços de Ferreira,72,81

Álex Remiro,Levante UD,72,82

F. Guilbert,SM Caen,72,81

L. Tousart,Olympique Lyonnais,72,85

M. Dmitrović,AD Alcorcón,72,78

D. Viera,Godoy Cruz,72,78

D. Buitrago,Corporación Club Deportivo Tuluá,72,76

Ricardo Lopes,Jeonbuk Hyundai Motors,72,73

A. Hefni,Free,72,72

F. Grillitsch,SV Werder Bremen,72,80

Borja Mayoral,VfL Wolfsburg,72,86

K. Dolberg,Ajax,72,87

O. Estupiñán,Once Caldas,72,80

Borja Valle,RC Deportivo de La Coruña,72,78

Costinha,Vitória Setúbal,72,77

M. Malyshev,Shakhtar Donetsk,72,79

J. Góralski,Jagiellonia Białystok,72,76

Y. Ait Bennasser,AS Nancy-Lorraine,72,82

Wellington Sabrão,A. Minas Gerais,72,72

Vanderlei Cõembra,Clube Atlético Paranaense,72,72

Estevão Candeira,Cruzeiro,72,72

Clayton Fildeiras,A. Minas Gerais,72,72

Juliano Mascarinhas,Associação Atlética Ponte Preta,72,72

Carleto Costinha,Fluminense Football Club,72,72

Mauro Riboas,Grêmio Foot-Ball Porto Alegrense,72,72

Michel Cruceiro,Santa Cruz,72,72

Santi da Bruma,Clube Atlético Paranaense,72,72

Thiago Alminxa,Botafogo de Futebol e Regatas,72,72

Cristian Lodeira,Cruzeiro,72,72

Walter Silvieiro,Figueirense Futebol Clube,72,72

Jonas Damasto,Figueirense Futebol Clube,72,72

Joshuando Sá,Sociedade Esportiva Palmeiras,72,72

Jeff Meirson,Associação Atlética Ponte Preta,72,75

Mauro Cildinho,Sport Club Internacional,72,72

Silvosinho,Santa Cruz,72,72

Sanaldo Caiado,São Paulo Futebol Clube,72,72

Pombaxinho,Avaí Futebol Clube,72,72

Ailtio Coelho,Botafogo de Futebol e Regatas,72,72

Denaldo Carneiro,Club de Regatas Vasco da Gama,72,72

Miltisco Paulino,Avaí Futebol Clube,72,72

Otávinho Vila,São Paulo Futebol Clube,72,72

Rubem Esteiro,Vitória,72,72

Timo Triano,Criciúma,72,72

Pimentiscinho,Clube Atlético Paranaense,72,72

Marcos Paneira,Santa Cruz,72,72

Porphirinho,São Paulo Futebol Clube,72,72

Alessinito,Avaí Futebol Clube,72,72

Leordinho Paes,Associação Atlética Ponte Preta,72,72

Jairinhazo,Goiás Esporte Clube,72,72

Jessé Ledeiro,A. Minas Gerais,72,72

Adrián Burnabão,Coritiba Foot Ball Club,72,72

Leandro Vivenço,Club de Regatas Vasco da Gama,72,72

Nilsito Vilela,Joinville Esporte Clube,72,72

João Bruiñeira,Vitória,72,72

A. Issoko,Vitória Setúbal,72,77

Bruno Henrique,VfL Wolfsburg,72,75

F. Kessié,Atalanta,72,82

M. Santos,Málaga CF,72,78

F. Krovinović,Rio Ave FC,72,81

A. Ounas,Girondins de Bordeaux,72,87

R. Malinovskyi,KRC Genk,72,76

D. Cure,Once Caldas,72,73

B. Berisha,FC Anzhi Makhachkala,72,75

M. Caktaš,Rubin Kazan,72,79

T. Fosu-Mensah,Manchester United,72,87

T. Hernández,Deportivo Alavés,72,86

C. Awaziem,FC Porto,72,83

J. Ito,Kashiwa Reysol,72,78

D. Suzuki,Gimnàstic de Tarragona,72,76

Rômulo Calsede,Figueirense Futebol Clube,72,72

P. Schick,Sampdoria,72,83

K. Laifis,Standard de Liège,72,78

N. Gorosito,Getafe CF,72,74

Pol Lirola,Sassuolo,72,82

Douglas Armeira,Santa Cruz,72,74

S. Ishizaki,AIK,71,71

A. Hughes,Free,71,71

S. Malbranque,SM Caen,71,71

D. de Vries,Celtic,71,71

S. von Bergen,BSC Young Boys,71,71

M. Rasmussen,Aarhus GF,71,71

M. Brighi,Perugia,71,71

R. Schäfer,1. FC Nürnberg,71,71

J. Álvarez,CD Numancia,71,71

D. Bent,Derby County,71,71

J. Cavalli,AC Ajaccio,71,71

M. Marić,Sporting Lokeren,71,71

A. Rochat,BSC Young Boys,71,71

A. Yahia,SM Caen,71,71

D. Sjölund,IFK Norrköping,71,71

J. Bothroyd,Júbilo Iwata,71,71

F. Ben Khalfallah,Melbourne Victory,71,71

C. Maury,GFC Ajaccio,71,71

Carlos García,Alanyaspor,71,71

Y. Hadji,AS Nancy-Lorraine,71,71

E. Süme,Gaziantepspor,71,71

A. Turan,Torku Konyaspor,71,71

F. Daems,KVC Westerlo,71,71

M. Yüce,Bursaspor,71,71

P. McShane,Reading,71,71

Rodolfo,Terek Grozny,71,71

Lee Jung Soo,Suwon Samsung Bluewings,71,71

J. Lotiès,Dijon FCO,71,71

F. Signorino,FC Metz,71,71

L. Obraniak,AJ Auxerre,71,71

B. Jones,Sunderland,71,71

K. Richardson,Cardiff City,71,71

C. Salcido,Guadalajara,71,71

J. Marveaux,Montpellier Hérault SC,71,71

H. Ghaly,Free,71,71

O. Pérez,Pachuca,71,71

R. Wallace,Sheffield Wednesday,71,71

B. Georgiev,FC Orenburg,71,71

I. Damonte,Estudiantes de La Plata,71,71

P. Toranzo,Huracán,71,71

J. Gutiérrez,Florencio Varela,71,71

G. Lorenzetti,Universidad de Chile,71,71

M. Carrusca,Adelaide United,71,71

C. Schwegler,FC Red Bull Salzburg,71,71

Mora,Universidad Católica de Murcia CF,71,71

Pedro Ríos,Córdoba CF,71,71

Dealbert,CD Lugo,71,71

Esteban,Real Oviedo,71,71

D. Mateo,Newell's Old Boys,71,71

Manu Del Moral,CD Numancia,71,71

Rubén,RC Deportivo de La Coruña,71,71

R. Pavlyuchenko,FC Ural,71,71

I. Lebedenko,Terek Grozny,71,71

M. Wasilewski,Leicester City,71,71

D. Corvia,Latina,71,71

E. Kılıçaslan,Osmanlıspor,71,71

B. Johnson,Derby County,71,71

D. Montenegro,Huracán,71,71

D. Marney,Burnley,71,71

M. Eikrem,Malmö FF,71,72

G. Colman,Rosario Central,71,71

V. Figueroa,Newell's Old Boys,71,71

Shin Hwa Yong,Pohang Steelers,71,71

L. Trałka,Lech Poznań,71,71

Ansotegi,RCD Mallorca,71,71

D. Álvarez,Tigres U.A.N.L.,71,71

J. Medina,Club Tijuana,71,71

A. Vanden Borre,Montpellier Hérault SC,71,71

J. De la Cuesta,Once Caldas,71,71

M. González,Necaxa,71,71

J. Sami,US Orléans Loiret Football,71,71

M. Brečko,1. FC Nürnberg,71,71

P. Andersson,Hammarby IF,71,71

K. Hämäläinen,Legia Warszawa,71,71

B. Leal,San Luis de Quillota,71,71

C. Puggioni,Sampdoria,71,71

N. Fernández,Unión,71,71

C. Donaldson,Birmingham City,71,71

E. Galeković,Adelaide United,71,71

V. Kobin,Shakhtar Donetsk,71,71

O. Skúlason,Kardemir Karabükspor,71,71

J. Rivas,Tigres U.A.N.L.,71,71

D. Biondini,Sassuolo,71,71

P. Whittingham,Cardiff City,71,71

L. Ridgewell,Portland Timbers,71,71

E. Villa,Querétaro,71,71

P. Gallagher,Preston North End,71,71

E. Armenteros,Santos Laguna,71,71

M. Krasić,Lechia Gdańsk,71,71

F. Berrier,KV Oostende,71,71

J. Hayes,Aberdeen,71,71

G. Leadbitter,Middlesbrough,71,71

A. Le Fondre,Wigan Athletic,71,71

J. Ward,Burton Albion,71,71

G. Agbonlahor,Aston Villa,71,71

J. Dahlin,FC Midtjylland,71,71

D. Moor,Toronto FC,71,71

J. Lynch,Queens Park Rangers,71,71

Edinho,Vitória Setúbal,71,71

S. Freis,SpVgg Greuther Fürth,71,71

C. Keşerü,Free,71,71

D. Bottinelli,G. La Plata,71,71

Hwang Jin Sung,Seongnam FC,71,71

K. Lafferty,Norwich City,71,71

S. Hagen,Odds BK,71,71

S. Vukčević,Grupo Desportivo de Chaves,71,71

M. Troest,Novara,71,71

Pedro Júnior,Vissel Kobe,71,71

S. Le Toux,Colorado Rapids,71,71

H. Goitom,San Jose Earthquakes,71,71

M. Sougou,Sheffield Wednesday,71,71

O. Hoban,Free,71,71

I. Anya,Derby County,71,71

J. Peters,Willem II,71,71

M. Madl,Fulham,71,71

A. Traoré,Nottingham Forest,71,71

F. Campbell,Crystal Palace,71,71

K. Lee,Sheffield Wednesday,71,71

C. Luna,Club Atlético Tigre,71,71

R. Shotton,Birmingham City,71,71

S. Gleeson,Birmingham City,71,71

D. Cotterill,Birmingham City,71,71

Sastre,CD Leganés,71,71

Jordi Gómez,Wigan Athletic,71,71

Javi Moyano,Real Valladolid,71,71

C. Esquivel,Deportivo Toluca,71,71

Carpio,Cádiz C.F.,71,71

David Fuster,Getafe CF,71,71

J. Toivio,Molde FK,71,71

R. Goreux,Standard de Liège,71,71

S. Bamba,Cardiff City,71,71

P. Kanstrup,SønderjyskE,71,74

D. Dessena,Cagliari,71,71

R. Gíslason,1. FC Nürnberg,71,71

V. Bernárdez,San Jose Earthquakes,71,71

D. Ovono Ebang,KV Oostende,71,71

W. Ayoví,Monterrey,71,71

K. Sankaré,Cádiz C.F.,71,71

C. Bolaños,Vancouver Whitecaps FC,71,71

J. Rosenthal,SV Darmstadt 98,71,71

M. Robak,Lech Poznań,71,71

Paulo Monteiro,F. Santa Maria da Feira,71,71

Filipe Gonçalves,Śląsk Wrocław,71,71

S. Boenisch,1860 München,71,71

P. Karlsson,AIK,71,71

M. Bjärsmyr,IFK Göteborg,71,71

Nuno Coelho,FC Arouca,71,71

J. Domínguez,Cruz Azul,71,71

Ángel,Real Zaragoza,71,71

P. Hansson,Feyenoord,71,71

M. Güven,Osmanlıspor,71,71

J. Guerrero,Club América,71,71

S. Guberti,Perugia,71,71

A. Traoré,Kayserispor,71,71

A. Rosi,Crotone,71,71

K. Matmour,1860 München,71,71

Y. Buyens,KVC Westerlo,71,71

R. Faty,Bursaspor,71,71

H. Habibou,Stade Rennais FC,71,71

C. Kum,Roda JC Kerkrade,71,71

D. Bassi,Atalanta,71,71

C. Mulgrew,Blackburn Rovers,71,71

C. Cortés,Audax Italiano,71,71

A. Pearce,Derby County,71,71

Nuno André Coelho,Sporting Kansas City,71,71

R. Hennings,Fortuna Düsseldorf,71,71

G. Boyd,Burnley,71,71

A. Pilkington,Cardiff City,71,71

L. Grimi,Racing Club,71,71

D. Cabrera,Monarcas Morelia,71,72

H. Jele,Orlando Pirates,71,71

M. Špiranović,Free,71,72

T. Levels,FC Ingolstadt 04,71,71

V. Procházka,Osmanlıspor,71,71

D. McGoldrick,Ipswich Town,71,71

H. Hosogai,VfB Stuttgart,71,71

L. Mabiala,Kayserispor,71,71

K. Aït-Fana,Nîmes Olympique,71,71

E. Arévalo Ríos,Jaguares de Chiapas,71,71

G. Berardi,Leeds United,71,71

M. Beevers,Bolton Wanderers,71,72

T. Phala,Free,71,71

K. LuaLua,Brighton & Hove Albion,71,74

S. Bruzzese,Club Brugge KV,71,74

J. Berget,Malmö FF,71,72

A. Guédioura,Watford,71,71

M. Bolatti,Belgrano de Córdoba,71,71

P. Oniangué,Wolverhampton Wanderers,71,71

J. Grahl,VfB Stuttgart,71,72

J. Ayité,Alanyaspor,71,71

E. Terranova,Sassuolo,71,71

Aarón Ñíguez,CD Tenerife,71,72

D. Escudero,Puebla,71,71

S. Celozzi,VfL Bochum,71,71

M. Abdellaoue,Vålerenga Fotball,71,71

B. Angulo,Jaguares de Chiapas,71,71

V. Nogueira,RC Strasbourg,71,71

L. Vibe,Brentford,71,71

R. Maniero,Bari,71,71

E. Lichaj,Nottingham Forest,71,71

J. Villafaña,Santos Laguna,71,72

L. Montes,Club León,71,71

E. Herrera,U.N.A.M.,71,71

Felipe,Grupo Desportivo de Chaves,71,71

A. Bouka Moutou,Dijon FCO,71,72

Nílton,Vissel Kobe,71,71

Kike Sola,Getafe CF,71,71

D. Kadah,Antalyaspor,71,71

R. Cota,Guadalajara,71,71

E. Hovland,1. FC Nürnberg,71,72

J. Mutch,Crystal Palace,71,74

K. Bartley,Leeds United,71,76

G. Sunu,Angers SCO,71,74

L. Köteles,Waasland-Beveren,71,71

Juan Cala,Getafe CF,71,73

D. Veškovac,Toulouse FC,71,71

F. Monzón,Universidad de Chile,71,71

G. Vural,Trabzonspor,71,71

Montoro,UD Las Palmas,71,71

J. Guerrón,Cruz Azul,71,71

N. McGinn,Aberdeen,71,71

A. Barnes,Burnley,71,72

O. Merlo,CD Huachipato,71,71

J. Cortés,U.N.A.M.,71,72

S. Morrison,Cardiff City,71,74

B. Mokulu,Avellino,71,72

S. Johansen,Fulham,71,73

A. Traoré,Girondins de Bordeaux,71,71

J. Jantscher,Çaykur Rizespor,71,71

K. Kombarov,FC Tom Tomsk,71,71

Z. Sadaev,Terek Grozny,71,72

P. Garcés,Colo-Colo,71,71

S. Parshivlyuk,FC Anzhi Makhachkala,71,72

Pedro Ken,Terek Grozny,71,71

F. Kadir,Getafe CF,71,71

T. Oar,Brisbane Roar,71,74

L. Ibáñez,Trabzonspor,71,71

A. Yoda,Getafe CF,71,71

R. Gutiérrez,Universidad Católica,71,71

E. Rivière,CA Osasuna,71,73

A. Budimir,Sampdoria,71,75

P. Valdivia,Sint-Truidense VV,71,71

G. Galitsios,Sporting Lokeren,71,71

T. Kaminski,KV Kortrijk,71,77

Alan Baró,Melbourne Victory,71,71

M. Abeid,Dijon FCO,71,75

J. Ekstrand,Bristol City,71,71

D. Rudd,Charlton Athletic,71,75

M. Pektemek,Medipol Başakşehir FK,71,71

D. Tshimanga,Willem II,71,71

I. Lewczuk,Girondins de Bordeaux,71,71

A. Kashi,Charlton Athletic,71,71

M. Pappa,Colorado Rapids,71,71

F. Caputo,Chiavari,71,71

Thiago Cionek,Palermo,71,71

M. Johansson,AZ,71,74

F. Jungwirth,SV Darmstadt 98,71,71

N. Baker,Aston Villa,71,75

Candeias,Alanyaspor,71,71

Maikon Leite,Deportivo Toluca,71,71

B. Salamon,Cagliari,71,74

R. Kambolov,Rubin Kazan,71,74

Tengarrinha,Boavista FC,71,72

K. Smith,Bristol City,71,74

Alcalá,Girona CF,71,72

E. Falkenburg,Willem II,71,71

A. Prijović,Legia Warszawa,71,73

M. Basha,Bari,71,71

C. Noone,Cardiff City,71,71

L. Del Prete,Perugia,71,71

G. Niedermeier,SC Freiburg,71,71

G. Scognamiglio,Novara,71,71

R. Gucher,Frosinone,71,75

T. Pukki,Brøndby IF,71,73

A. Hansen,Rosenborg BK,71,73

Mossa,Gimnàstic de Tarragona,71,72

G. Zusi,Sporting Kansas City,71,71

Y. Andreu,Angers SCO,71,72

H. Dalsgaard,SV Zulte-Waregem,71,72

H. Bazile,SM Caen,71,72

M. Gulde,SC Freiburg,71,75

M. Terrazzino,TSG 1899 Hoffenheim,71,74

J. Burić,Lech Poznań,71,71

Ortuño,Cádiz C.F.,71,75

A. Smith,Bournemouth,71,75

K. Wilczek,Brøndby IF,71,71

A. Kulušić,Gençlerbirliği SK,71,71

E. Salomonsson,IFK Göteborg,71,71

S. Brandy,1. FC Union Berlin,71,71

Leandro,Vissel Kobe,71,71

F. N'Sakala,Alanyaspor,71,72

L. Chichizola,La Spezia,71,73

H. Fallatah,Al Shabab,71,71

H. Milić,Fiorentina,71,72

E. Makeev,Spartak Moscow,71,72

Marcinho,FC Ufa,71,71

P. Diawara,CS Marítimo,71,71

M. Fenger,Randers FC,71,74

H. Bernardello,Montreal Impact,71,71

Héctor Rodas,Córdoba CF,71,71

T. Perthel,VfL Bochum,71,72

S. Polter,Queens Park Rangers,71,75

F. Klos,DSC Arminia Bielefeld,71,71

A. Luthe,FC Augsburg,71,71

L. Cabrera,Real Zaragoza,71,77

A. Morleo,Bologna,71,71

L. Rodríguez,Atlético Tucumán,71,71

O. Jiménez,Jaguares de Chiapas,71,71

F. Përdedaj,1860 München,71,75

M. Rojas,Melbourne Victory,71,74

H. Lindner,Eintracht Frankfurt,71,74

M. Leovac,PAOK,71,71

S. Mielitz,SpVgg Greuther Fürth,71,72

Morcillo,UD Almería,71,71

L. Benito,BSC Young Boys,71,77

A. Souquet,OGC Nice,71,77

M. Coronel,G. La Plata,71,73

Cauê,Moreirense FC,71,71

Portillo,Getafe CF,71,72

C. Hourihane,Barnsley,71,75

Pedro Trigueira,Vitória Setúbal,71,71

J. Hunt,Sheffield Wednesday,71,74

A. Forshaw,Middlesbrough,71,76

